Report ID,Drugs,Categories,Non-Substance,Context,Dose Method,Intensity,Gender,Title,Author,Date,Views
40359,"Chlorpheniramine Maleate,DXM","Health Problems,Addiction & Habituation,Post Trip Problems,HPPD / Lasting Visuals",,Not Applicable,oral,,Male,Long Term Effects,Blake A.,Sep 23 2007,18634
39923,DXM,"Retrospective / Summary,Bad Trips,Health Problems,Hangover / Days After",,Not Applicable,oral,,Male,Game Playing and Illness,Gustavo Roderer,Nov 20 2007,31816
39635,Barbiturates,"Retrospective / Summary,Addiction & Habituation,Hangover / Days After",,Not Applicable,oral,,Not-Specified,The Highs and Lows,Anonymous,Nov 30 2007,69589
34438,Dimenhydrinate,"Retrospective / Summary,Music Discussion",,Alone,oral,,Male,"Stupidity, Stasis and Hysteria",Andrew,Feb 12 2007,17086
33756,LSD,"Retrospective / Summary,Mystical Experiences,Relationships",,Not Applicable,oral,,Male,My Personal Assessment,Noirceuil,Nov 28 2007,4051
32598,"Opioids,Pharms - Oxycodone","General,Retrospective / Summary,Addiction & Habituation,Hangover / Days After,Multi-Day Experience",,Not Applicable,oral,,Male,Best High in the World,OrsonXL,Nov 17 2007,71037
32158,Ayahuasca,Preparation / Recipes,,Not Applicable,oral,,Male,Guide to Brewing Ayahuasca,MindFuck,Jan 23 2007,17789
31294,Pharms - Venlafaxine,"Retrospective / Summary,Difficult Experiences,Medical Use,Hangover / Days After,Depression,Multi-Day Experience",,Not Applicable,oral,,Male,Satanic Seed,Spark an Owl,Jul 12 2010,5753
30715,Diphenhydramine,"General,Retrospective / Summary",,Not Applicable,oral,,Male,Balance of Risks,Dan,Nov 13 2007,24139
30629,"Pharms - Citalopram,Pharms - Escitalopram,SSRIs","Retrospective / Summary,Medical Use,Depression",,Not Applicable,oral,,Male,Early Comparison of Celexa and Lexapro,Ady,Apr 21 2010,17377
9401,Nutmeg,First Times,,Alone,oral,,Female,Very Surprised,Mental Confusion,Nov 20 2004,18860
72063,"Amphetamines,Lisdexamfetamine","Retrospective / Summary,Glowing Experiences,Medical Use,Multi-Day Experience,Therapeutic Intent or Outcome",,Not Applicable,oral,,Male,Social Focus without Amphetamine Lunacy,AvoidBeingFiredADD,Jul 30 2010,25479
77774,"Benzodiazepines,Diphenhydramine",General,Drug Testing,Not Applicable,oral,,Female,False Positive Urine Screen,NHB,Mar 25 2009,14004
68565,"Acetaminophen,Diphenhydramine,MDMA","Health Benefits,Hangover / Days After",,Not Applicable,oral,,Male,Medicine for the Week After,Ajax,Jan 2 2010,24667
68427,Pharms - Zolpidem,"Health Problems,Post Trip Problems,Multi-Day Experience",,Not Applicable,oral,,Male,Induced Psychosis,Richard R,Aug 22 2010,12395
77806,"Alcohol,Naltrexone","Combinations,Addiction & Habituation,Medical Use",,Not Applicable,oral,,Female,The Sinclair Method,Goin4More,Jul 21 2010,10775
68320,Yerba Mate,General,,Small Group (2-9),oral,,Male,A Unique Experience of 'Mate Culture',Tim,Feb 23 2010,6815
83251,DXM,General,Drug Testing,Hospital,oral,,Female,Re-Analyze That Please,SarahToxic,Jan 13 2010,4766
68241,Diphenhydramine,"Addiction & Habituation,Post Trip Problems,HPPD / Lasting Visuals",,Not Applicable,oral,,Male,Something is Wrong with Me,Benadryl Burnout,Jan 2 2010,13888
77890,"H.B. Woodrose,Various","Combinations,Retrospective / Summary",,Not Applicable,oral,,Male,Retrospective: The Memorable Moments,Mujo Lila,Dec 9 2010,9378
83146,"DXM,Pharms - Tramadol","Combinations,Health Problems",,Unknown Context,oral,,Male,"Urine a Heap of Trouble Now, Pal",Druu,Jan 13 2010,17716
