Report ID,Drugs,Categories,Non-Substance,Context,Dose Method,Intensity,Gender,Title,Author,Date,Views
1,"MDMA[method]oral[amount]0.5 tablets[form]pill / tablet,Stimulants",,,,,Medium,,An Unforgettable Ride!,Johnny Blaze,May 30 2000,72635
307,Salvia divinorum[method]smoked[amount]3 bowls[form]extract - 5x,,,,,Medium,,I Talked To Her,Anonymous,Sep 6 2001,6092
309,"Codeine[method]oral[form]pill / tablet,Opiates",,,,,Medium,,No Big Deal,Tree,Jul 16 2000,64640
310,"Ketamine[method]IM[form]liquid,NMDA Antagonists",,,,,Medium,,Left My Body,Sethballs,Oct 18 2000,23899
311,"Cannabis[method]smoked,Desmanthus illinoensis[method]smoked[amount]0.5 g[form]rootbark",,,,,Medium,,Smoking Bundleflower Root Bark,Freyje,Jul 16 2000,86085
312,"Mushrooms[method]oral[amount]8.0 g[form]dried,Salvia divinorum[method]smoked[amount]0.15 g[form]extract - 5x",,,,,Strong,,Wow,Another Traveller,Mar 3 2001,4981
314,LSD[method]oral[amount]5 hits[form]blotter / tab,,,,,Medium,,The Stupidest Drug,Kayla,Sep 6 2001,23813
315,Cocaine[method]insufflated[form]powder / crystals,,,,,Medium,,Treat it With Respect and There is No Problem,Pablo,Aug 19 2001,15236
316,Cocaine[method]insufflated[form]powder / crystals,,,,,Medium,,Pure Happiness,K.S.,Oct 14 2000,5387
319,LSD[method]oral[amount]2 hits[form]blotter / tab,,,,,Medium,,The Strangest Party Ever,Twinkle,Feb 3 2001,11791
320,LSD[method]oral[amount]1 hit,,,,,Medium,,Seeing Beyond,Raveneyes,Sep 7 2001,10974
321,"5-MeO-DiPT[method]oral[amount]10 mg[form]powder / crystals,Mushrooms[method]oral[form]tea",,,,,Medium,,First Time Foxy,Jennifer,Sep 16 2000,22039
324,LSD[method]oral[amount]2 hits[form]blotter / tab,,,,,Medium,,Reasons For and Against the Use of LSD,Aussie Tripper,Aug 20 2001,11841
325,Salvia divinorum[method]smoked[amount]3 hits[form]extract - 5x,,,,,Extreme,,Use a Sitter You Trust,Innocent,Aug 19 2001,60206
326,LSD[method]oral[amount]1.5 hits[form]gel tab,,,,,Medium,,A Night in the Woods,Ell S. Dee,Oct 2 2001,2681
327,H.B. Woodrose[method]oral[amount]7 seeds[form]seeds,,,,,Light,,A First With the Mind Candy,Barney,Sep 11 2000,11328
331,"Opiates,Opium[method]smoked",,,,,Medium,,Subsonic Information,Lena,Sep 11 2000,38163
340,"MDMA[method]oral[amount]1 tablet[form]pill / tablet,Stimulants",,,,,Medium,,Seeing Myself,Gloworm,Jun 10 2000,1257
345,Salvia divinorum[method]smoked[amount]3 hits[form]dried,,,,,Medium,,Becoming the Membrane,Awed,Aug 19 2001,66220
348,AMT[method]oral[amount]35 mg[form]powder / crystals,,,,,Medium,,A General State of Happiness,Gulliver,Sep 8 2000,7814
350,Methamphetamine[method]inhaled[form]powder / crystals,,,,,Medium,,Part of My Life Forever,AmyBlue,Aug 19 2001,18759
352,"Melatonin[method]oral,Valerian[method]oral,Vitamin B-6[method]oral",,,,,Medium,,Nights of Trials,Vegas,Mar 3 2001,25440
353,"Amanitas[method]oral[amount]8.0 g[form]dried,Harmala Alkaloids,Mushrooms[method]oral[amount]3.0 g[form]dried,Syrian Rue[method]oral[amount]2.0 g[form]ground / crushed",,,,,Strong,,Entering the Spiritual Realm,Shaman Swa,Sep 8 2000,17695
355,Cathinone,,,,,Medium,,Cat Ain't That Bad,Railed,Sep 11 2000,48528
356,Leonotis leonurus[method]smoked,,,,,No Effect,,Not the Tastiest of Placebos,eG,Sep 11 2000,28138
357,"Amphetamines[method]oral[amount]30 mg[form]pill / tablet,Stimulants",,,,,Light,,The Learning Curve,Beanz,Jul 16 2000,112456
359,Salvia divinorum[method]smoked[amount]2 hits[form]extract,,,,,Strong,,A Rather Scary Interpretation,G.W. Hayduke,Oct 3 2001,10471
361,Wormwood[method]oral[form]liquid,,,,,Light,,Absinthe Experiment,Aseem,Jun 11 2000,188658
362,Absinthe[method]oral[amount]3.5 glasses[form]liquid,,,,,Medium,,Absinthe's Real Deal,Anonymous,Jun 11 2000,158402
363,Absinthe[method]oral[amount]4 glasses[form]liquid,,,,,Medium,,Black Out,Nate,Jun 11 2000,64503
364,Amanitas[method]oral[amount]30 g[form]plant material,,,,,Medium,,Another Reason to Stick to Manmade Drugs,Scally,Jun 11 2000,8640
365,Amanitas[method]oral[amount]15 g[form]plant material,,,,,Medium,,Conversational Weirdness,Anonymous,Jun 11 2000,50012
366,Amanitas[method]oral[amount]30 g[form]dried,,,,,Strong,,Studies of Amanita,Jonathan Ott,Jun 11 2000,122129
367,Amanitas[method]oral[form]plant material,,,,,Medium,,Zero Logic Impairment,J. Doe,Jun 11 2000,38516
368,Amanitas[method]oral[amount]15 g[form]plant material,,,,,Medium,,Hallucinating in the Mind,Petri,Jun 11 2000,114306
369,Amanitas[method]oral[amount]30 g[form]dried,,,,,Medium,,Delirium,Todd Berry,Jun 11 2000,2992
370,Amanitas[method]oral[form]plant material,,,,,Medium,,Tonic,Eugene,Jun 11 2000,24738
371,"Amanitas[method]oral[amount]3.5 caps[form]dried,LSD[method]oral[amount]1 hit",,,,,Strong,,The Mystical Amanita,Pedro Aguaro,Jun 11 2000,17664
372,Amanitas[method]oral[amount]3.5 g[form]dried,,,,,Light,,"Mild, but Definitely Not Poisonous",Activist,Jun 11 2000,102720
375,LSD[method]insufflated[form]ground / crushed,,,,,Medium,,Micro-dots and Rolled Up Dollar Bills,Anarch_e,Jun 13 2000,67950
